Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated violent crime total
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1960,       6097,         236,       2704,       1924,      37558,       2408,         928,         375,       4230,      11061,       6262,         138,         255,      36802,       3945,         656,       1272,       2957,       4990,         289,       4691,       2512,      17034,       1435,       2236,       7468,         453,         590,         416,          81,       6932,       1360,,      10182,          90,       8120,       2258,       1232,      11203,         316,       3424,         282,       3250,      15428,         484,          37,       7286,       1616,       1200,       1261,         362
1961,       5564,         208,       2288,       1809,      38154,       2659,         878,         318,       4491,      11376,       6269,         161,         222,      37156,       4044,         643,       1282,       2907,       4508,         334,       4959,       2777,      16499,       1505,       2274,       7266,         457,         586,         549,          89,       6682,       1278,,       9275,         160,       7986,       2437,       1242,      11223,         372,       3318,         245,       3910,      15441,         451,          79,       7555,       1687,       1167,       1268,         288
1962,       5283,         225,       2610,       1667,      39846,       2990,         938,         338,       4750,      10489,       6200,         256,         234,      38926,       4191,         559,       1477,       2963,       4570,         277,       4915,       3207,      18106,       1674,       2079,       8059,         390,         637,         711,         178,       7874,       1338,,       9533,         128,       8366,       2478,       1461,      11856,         402,       3012,         279,       3767,      15516,         554,          57,       7720,       1913,       1146,       1174,         156
1963,       6115,         272,       3027,       1991,      42419,       2555,       1192,         424,       4740,      12150,       7019,         215,         362,      33627,       4819,         629,       1831,       2849,       5798,         306,       5283,       3454,      18478,       1983,       1779,       8629,         414,         591,         755,         164,       8849,       1376,,      10038,         182,       9086,       2808,       1393,      12678,         500,       4075,         278,       3777,      17511,         598,          92,       8259,       2034,       1185,       1312,         213
1964,       7260,         375,       3368,       2641,      48026,       3119,       1773,         541,       5112,      16539,       8285,         575,         537,      36916,       6564,       1007,       2573,       3486,       7140,         506,       7446,       4559,      21153,       2601,       4118,       9553,         564,         776,         983,         149,      10456,       1613,,      12345,         229,      11582,       3609,       2009,      14162,         578,       4240,         408,       4505,      19769,         888,          89,      10561,       2761,       1359,       1762,         285
1965,       6916,         377,       3092,       2662,      52490,       3007,       1973,         561,       5804,      17386,       8777,         491,         493,      34345,       6695,       1067,       2392,       3463,       7178,         437,      10032,       5270,      24459,       3074,       3949,      10588,         514,         852,         953,         156,      10422,       2047,      58802,      12755,         223,      12788,       3339,       2290,      16384,         722,       4504,         415,       5333,      21029,         886,          89,      10145,       3081,       1413,       1911,         257
1966,       8098,         409,       3272,       3185,      57718,       3340,       2146,         655,       7155,      20069,       9066,         598,         461,      39116,       7196,       1214,       2517,       4191,       8689,         486,      11236,       6201,      27806,       3691,       3504,      11149,         507,         941,         987,         259,      11168,       2221,      62561,      14775,         231,      15626,       3552,       2470,      15169,         849,       5844,         568,       6145,      24382,       1148,          80,      10399,       3673,       1613,       1984,         273
1967,       8448,         437,       3892,       4320,      67446,       3789,       2804,         948,       9252,      23399,       8536,         591,         478,      42956,       8143,       1608,       3248,       4484,      10071,         621,      17458,       6919,      33390,       4727,       2672,      12746,         588,       1624,       1100,         218,      13204,       2325,      75124,      15995,         185,      19344,       3703,       3147,      16119,       1156,       6015,         586,       8111,      26749,       1194,          86,      10328,       4754,       1744,       2948,         294
1968,       8288,         486,       4402,       4360,      81293,       5387,       3825,       1288,      12180,      27913,       9903,         662,         518,      44776,      10229,       1882,       3463,       5317,      11742,         633,      23405,       8916,      37292,       5111,       3397,      15216,         610,       2103,       1261,         279,      16711,       2543,      98515,      18025,         173,      21228,       4473,       3955,      20710,       1254,       5853,         563,       8766,      29646,       1201,         157,      12821,       6970,       1959,       3400,         278
1969,       8842,         624,       5742,       4390,      89878,       6275,       4415,       1588,      17038,      29411,      11235,         684,         806,      49543,      10141,       1918,       3873,       5745,      13492,         733,      24295,      10272,      44048,       5253,       3354,      18260,         682,       2302,       1642,         325,      17226,       2881,     105870,      18117,         220,      26648,       4775,       4527,      22887,       1594,       6449,         510,       9235,      36707,       1460,         234,      12433,       8243,       1766,       3411,         286
